Step,Active_Hosts,Total_Power_W,Max_Temperature_C,Migrations,SLA_TAH,PDM
0,4,582.8080625,70.48707036293614,0,0.0,0.0
1,5,729.5301668120044,68.36690339093323,0,0.0,0.0
2,5,760.0396657512304,72.16707158320094,0,0.0,0.0
3,5,805.1476133346503,76.38664986271601,0,0.0,0.0
4,5,822.6356025964459,76.3953321205083,0,0.0,0.0
5,5,856.9083448704417,79.64696747129767,0,0.0,0.0
6,5,874.7690738250287,77.65912079226896,0,0.0,0.0
7,5,910.4621794744102,82.25844396902285,0,0.0,0.0
8,5,924.4215811980483,84.12360513657083,0,0.0,0.0
9,5,934.3065217854712,84.25787341862434,0,0.0,0.0
10,5,978.0062182161796,84.76769914871308,0,0.0,0.0
11,5,990.9300147878837,85.00521682482298,0,0.0,0.0
12,5,1093.9307661707996,89.66699472652132,0,0.0,0.0
13,5,1284.2474576246905,97.24032498637834,0,1.4285714285714286,0.0
14,5,1442.5598355099246,104.85608209293976,1,5.333333333333333,0.006039559112184811
15,5,1571.0591338156428,104.89747362246489,19,8.75,0.17782567695002022
16,5,1704.7986932201386,104.89657064239877,63,11.76470588235294,0.6811033147834507
17,7,2014.7842677063277,104.897688120488,110,10.317460317460316,0.8285121711603536
18,8,2171.380997273777,104.89029835918376,137,10.526315789473683,0.9637357178340782
19,8,2198.5124785061103,104.89729240268349,170,11.875,1.2043363396192033
20,8,2235.4075009283006,104.8979244349683,202,13.095238095238093,1.2393987740364425
21,8,2311.743836231696,104.89980790384863,246,14.204545454545453,1.3702669149596514
22,8,2389.005818824463,104.89783565254048,293,15.217391304347828,1.4376928043618615
23,8,2368.409273833341,104.89894303171849,326,16.666666666666668,1.4947045893558906
24,8,2432.314821747173,104.89808338884488,354,18.0,1.5473240832507424
25,8,2510.846707359826,104.89600656715282,397,19.230769230769234,1.563275434243177
26,8,2522.7607776889454,104.8997290934266,451,20.37037037037037,1.6350137192661567
27,8,2545.2823340387895,104.89971544689004,503,21.428571428571427,1.7130071899039714
28,10,2807.8390067589257,104.89951073485152,548,17.93103448275862,1.7467888175292852
29,10,2823.440862157566,104.89852743534762,595,18.666666666666668,1.787828874148608
30,10,2867.0005489345176,104.89991756966407,651,19.35483870967742,1.8268664253850782
31,10,2841.3084069535917,104.88945951777401,717,20.0,1.8699122106943449
32,12,3101.006930328742,104.89212871165256,739,17.171717171717173,1.8412963454897464
33,12,3106.844185223654,104.89557256142187,775,17.647058823529417,1.8312660470835112
34,12,3119.78962277865,104.8954773717973,826,18.0952380952381,1.8393504923130188
35,12,3012.242153064276,104.85842475793696,860,18.287037037037038,1.8196878831052758
36,12,3059.8361220557704,104.8954821986499,897,18.693693693693692,1.805851825909781
37,12,3059.4001817975113,104.8858064474789,936,19.07894736842105,1.7886676875957217
38,12,3038.679071287351,104.8913499505413,961,19.230769230769234,1.769791390044564
39,12,3017.797984185935,104.89739816717517,1009,19.375,1.7696645212735753
40,12,3048.644495667841,104.89465655187729,1056,19.51219512195122,1.7782547676050613
41,12,3048.9179742296496,104.89934371643406,1094,19.642857142857142,1.775825346112895
42,12,3040.6897328019936,104.87916014170744,1154,19.76744186046512,1.7777491298182377
43,12,3050.6934455112278,104.89187172294578,1209,19.886363636363637,1.7789939275807884
44,12,3044.914070045353,104.89804631412531,1228,19.999999999999996,1.763693232791029
45,12,3019.75937897952,104.88164946773182,1280,20.108695652173914,1.7599284352268283
46,12,3020.7580359241924,104.87068813991594,1324,20.21276595744681,1.7482165721602443
47,12,3020.944683480393,104.87471463813993,1371,20.3125,1.7394492966197848
48,12,3037.688884200545,104.88870908247954,1413,20.408163265306122,1.7446459058198194
49,12,3021.5951859685715,104.83858652240575,1485,20.5,1.7517664872140088
50,12,3015.6537570983382,104.8797974600313,1524,20.58823529411765,1.7400118772141895
51,12,3009.2452149494065,104.8933167500475,1564,20.673076923076923,1.7305773911655669
52,12,3017.089610798633,104.85522878916174,1613,20.754716981132074,1.7313752188290317
53,12,2966.019640370621,104.88603762222408,1663,20.83333333333333,1.7289081179551513
54,12,2969.9197470588733,104.82732584710628,1707,20.90909090909091,1.7192391042619892
55,12,2960.0193547919307,104.8776581592989,1736,20.982142857142858,1.7006728890818414
56,12,2982.498448652993,104.88057887279223,1784,21.052631578947366,1.6997702774341847
57,12,2970.709171587534,104.85413571527025,1839,21.120689655172413,1.7045336832291789
58,12,2970.5464533853083,104.87591804269863,1877,21.1864406779661,1.6907682702529487
59,12,2978.466614391212,104.85103698972391,1924,21.250000000000004,1.6860887363000212
60,12,2980.884071495636,104.8729128391436,1961,21.311475409836063,1.6739070751441438
61,12,2980.35298696117,104.85784849707817,2039,21.370967741935484,1.6895597881925357
62,12,3008.9556378904103,104.89066716856402,2114,21.42857142857143,1.6978884677856143
63,12,3010.2268804635714,104.89957247307846,2172,21.484375,1.6948484848485021
64,12,2966.9284329428483,104.87886220811095,2227,21.53846153846154,1.698830800314977
65,12,2959.0230058507495,104.89522150965827,2278,21.59090909090909,1.6992682855727144
66,12,2965.622804110425,104.88149301820573,2340,21.641791044776117,1.7018475320921316
67,12,2915.8830533396736,104.89660548119555,2407,21.691176470588236,1.7039223956136946
68,12,2920.652875782788,104.84703362423038,2459,21.73913043478261,1.7035859877012678
69,12,2870.4204130775206,104.76378177907486,2509,21.78571428571429,1.6999605640698208
70,12,2859.9389825892395,104.75666604047679,2567,21.830985915492963,1.699151294476756
71,12,2910.3757664488494,104.8859648987398,2626,21.875,1.699080972033633
72,12,2870.579805789572,104.87732644471386,2699,21.91780821917808,1.7024842783639478
73,12,2874.8012209178974,104.88369097144589,2752,21.95945945945946,1.7004868050218163
74,12,3014.409044454717,104.89443293005544,2818,22.0,1.7045310960046898
75,12,3029.9755767955508,104.89753665594627,2902,22.039473684210527,1.7177409300586377
76,14,3321.1625761096875,104.89669123795608,2984,18.923933209647494,1.7256103563694063
77,14,3412.634024070473,104.88566912527754,3059,18.956043956043956,1.7310005467468996
78,14,3368.619644075482,104.82243353369093,3099,18.987341772151897,1.7284780130782136
79,14,3394.370616313057,104.88719079183085,3139,19.01785714285714,1.724166548110255
80,14,3389.840503483105,104.84067103980233,3178,19.047619047619047,1.7175800611664245
81,14,3368.5534042977797,104.87425158198,3262,19.076655052264808,1.7264586977423522
82,14,3370.7566982546573,104.88399424466174,3299,19.104991394148023,1.7214954983849642
83,14,3325.618727814642,104.77014883858104,3344,19.132653061224488,1.719902555096076
84,14,3262.777301278074,104.62293637420177,3371,19.159663865546218,1.7122673245122708
85,14,3235.2285802987994,104.76912469937162,3404,19.186046511627904,1.7043285238624233
