Step,Active_Hosts,Total_Power_W,Max_Temperature_C,Migrations,SLA_TAH,PDM
0,2,299.0014375,69.91264051512066,0,0.0,0.0
1,2,307.6591245780032,70.27099723766929,0,0.0,0.0
2,2,337.0970437522777,70.4090491946469,0,0.0,0.0
3,2,360.83563229153725,74.47347453530398,0,0.0,0.0
4,2,388.93285384552547,74.94770872341192,0,0.0,0.0
5,2,414.298117623031,79.77634247257498,0,0.0,0.0
6,2,452.51163291339856,81.94760745938194,0,0.0,0.0
7,2,494.1650311127488,85.03799118863216,0,0.0,0.0
8,2,525.8075670066362,88.01918808429275,0,0.0,0.0
9,2,543.4761661624664,89.55961795080661,0,0.0,0.0
10,2,565.5233328327474,89.63488299865185,0,0.0,0.0
11,2,574.1246181156625,90.35217227784652,0,0.0,0.0
12,2,594.297833670197,89.39319781189165,0,0.0,0.0
13,3,864.4954947013464,92.89402797222048,0,0.0,0.0
14,3,971.0693009721423,94.60859686266774,0,0.0,0.0
15,4,1224.6561661388491,96.98535699552909,1,8.333333333333332,0.005595970900951315
16,4,1382.7971376633077,97.33810828819131,5,25.0,0.02276463892753257
17,5,1625.1957550458956,95.74058489082616,22,18.666666666666668,0.19259429095494668
18,6,1910.518457059915,98.11446025438725,30,15.277777777777777,0.30106627639556766
19,6,1902.1358675188196,94.56123526574493,34,12.857142857142856,0.3221797323135755
20,6,1910.015569605741,94.17631560337878,35,11.11111111111111,0.32479535252178504
21,6,1897.326720276566,94.34696289091528,36,9.788359788359786,0.31379900562393026
22,6,1932.4967791644158,93.65213296366278,38,8.75,0.3103186646433991
23,6,1998.2233288185303,97.34030061077742,40,9.427609427609427,0.3067875867932549
24,7,2197.8385494508775,95.75525772621907,42,8.571428571428571,0.29756776459672607
25,7,2246.408663235789,94.87142219214832,55,7.892107892107893,0.33515392254220444
26,7,2281.6647765234034,94.5362035476736,57,7.312925170068027,0.33691548068544863
27,7,2325.919754030847,94.94414300584238,57,6.813186813186814,0.3159729788624972
28,7,2363.8007417000767,95.60671869337264,57,7.270408163265306,0.2973748974569318
29,7,2384.922647622514,97.50388796643924,60,8.773971126912304,0.31500628080007714
30,7,2400.0318983602647,97.03108552490805,85,11.096938775510203,0.330326225624202
31,7,2379.823154323041,96.98117906065511,92,13.329371222173078,0.3408895018100321
32,7,2378.067122706885,95.4104754989575,99,13.151154401154402,0.3495645774561503
33,7,2387.439255853679,96.14555251179121,106,13.192856089804343,0.35187993312337107
34,7,2383.635385591502,95.62307350486839,112,13.95794681508967,0.35858642043979605
35,7,2388.23167134384,95.47038503872473,119,13.847377242277533,0.36954285916941443
36,7,2326.38461931577,94.2184167059814,123,13.16831816831817,0.365343402387998
37,7,2332.001773581932,95.23830003681118,126,13.237223493516398,0.358718024110555
38,7,2322.5132473175454,94.58351805333218,130,12.652347652347654,0.3531370762512167
39,7,2311.176112288223,94.49606302654782,135,12.119392684610075,0.35211906706597623
40,7,2328.4983766958717,94.80816704809116,137,11.631406784102008,0.3440333537420908
41,7,2278.4951049953365,94.09489863536986,140,11.182683034899783,0.336711711711711
42,7,2278.8940196063922,94.20564891807605,143,10.768481387470722,0.3290333115610705
43,7,2310.4167108176234,94.56645262375753,147,10.384824461576407,0.32684558455582113
44,7,2330.65702157387,93.75112966935566,156,10.028344671201813,0.32988901645618
45,7,2335.5311454753105,93.41287762328041,159,9.696167835646484,0.324224063311487
46,7,2384.3147456897386,97.05425952431399,164,10.282181790384978,0.3211801391220911
47,7,2389.65230650138,97.47298037429887,172,10.372329283619607,0.3260059612518624
48,7,2403.1533688957775,99.48823457438391,176,11.477119419196251,0.3298791800533955
49,7,2364.4375289384907,96.3335896109853,178,11.572201286487003,0.32421969513670407
50,7,2374.3953032378768,96.2183815644823,182,11.941618752764265,0.32215971078357936
51,7,2387.4071223801975,96.26945654100915,188,12.386538815110242,0.32137876485648237
52,7,2395.3971304482284,96.87807833915757,198,12.808478309197413,0.32760298410638955
53,7,2385.966996324047,96.43980891267658,201,13.209153940861256,0.32394421838580933
54,7,2330.371480245541,94.84253306756062,202,12.874042038485406,0.3174664329332894
55,7,2352.261681181458,96.72656152671864,209,12.887950295524641,0.3208948209418176
56,7,2386.0734662808836,96.9642293892052,220,13.69234775249813,0.3299143103543183
57,7,2386.181824485126,97.3789985440247,224,14.280323743713067,0.33219853072925987
58,7,2364.5092919411386,98.46523474260187,228,14.602598860941843,0.33013005653871064
59,7,2325.4530648061063,96.36283194240963,231,14.606826732012285,0.33516492921823376
60,7,2301.4831096665102,94.94456249462422,233,14.285844586985,0.3306089636229651
61,7,2289.8301035068926,94.10388440204264,234,13.978805304690859,0.32483815455215936
62,7,2292.8356237098847,94.49096095457548,237,13.684811048165086,0.31867779204107827
63,7,2215.3776629845,94.84201470196491,239,13.403040167434757,0.3147848236607494
64,7,2250.4654419177623,94.89573730396658,245,13.132739212007504,0.3158754372178309
65,7,2218.981905616056,93.47622577837402,258,12.873215936705485,0.3148274038824685
66,7,2212.207839169675,92.64166615475972,262,12.623833158369777,0.3100040010076612
67,7,2205.879648673188,92.64334257187551,264,12.384003344047741,0.30459510960478275
68,7,2172.125278524182,93.87047756546127,264,12.153183830202464,0.29924117924460897
69,7,2147.8179453688863,91.72145718034851,264,11.930872588073425,0.2943036640384534
70,7,2118.741480487386,92.75368042765639,264,11.716604463216196,0.2895224400630479
71,7,2102.067863927975,93.08398764881174,266,11.509947827967455,0.2854577119843256
72,7,2062.0742985832035,92.22515081790716,268,11.310501594524036,0.2825699387407675
73,7,2070.2041033744918,92.59008552551659,270,11.117892543814948,0.2798034242232086
74,7,2049.31663854204,91.72627286938771,271,10.931772931642067,0.27644606565919744
75,7,2093.3861521586555,90.30866817101223,271,10.751818338877817,0.2725999768765335
76,7,2053.423627259624,90.66593600331467,273,10.577725737005364,0.27031824521364267
77,7,2103.537607546811,90.54069943107044,273,10.409211744106358,0.266863601657258
78,7,2161.720301054929,90.70864560329358,273,10.246011049655394,0.26358410088397105
79,7,2205.3989103111844,91.69720436285147,277,10.087874989260916,0.2613644690881555
80,7,2197.5402800318184,92.02597434142623,277,9.934570252875206,0.25833866508927167
81,7,2218.158164171855,93.52632700729984,277,9.78587771204386,0.2554125987635165
82,7,2250.326056339971,93.19792213633018,277,9.64159135352955,0.2526146799820573
83,7,2355.991969598969,95.75106856421279,282,9.71473692437372,0.25077345163738246
84,7,2362.1616655684984,94.79567744650127,283,9.575556998755786,0.2489291198577547
85,7,2288.7886993709735,93.79929345803008,285,9.44032550045301,0.24812081610272105
86,7,2302.9271408692994,92.7477399453969,288,9.308876082275097,0.24597854470230482
